,"Global Unicorn Club: Private Companies Valued at $1B+
(as of May 8th, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Company,Valuation ($B) ,Country,Category,Select Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESR Cayman (e-Shang Redwood),$3 ,China,Drug Development,"SK Group, GF Investments, China Minsheng Banking Corp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ezCater,$1 ,United States,Food & Grocery,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Face++ (Megvii),$1 ,China,AI / Facial Recognition,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fanatics,$5 ,United States,eCommerce/Marketplace,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fanli,$1 ,China,eCommerce/Marketplace,"QiMing Venture Partners, Steam boat Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flexport,$3 ,United States,Internet Software & Services,"Bloomberg Beta, Founders Fund, First Round Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formlabs,$1 ,United States,3D Printing,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshworks,$2 ,United States,Internet Software & Services,"Accel, Tiger Global Management, capitalG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gan & Lee Pharmaceuticals,$2 ,China,Biotechnology,"Qiming Venture Partners, Goldman Sachs, Hillhouse Capital Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geek+,$1 ,China,Robotics,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gett,$1 ,Israel,On-demand,"Volkswagen, Access Industries, Vostok New Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ginkgo BioWorks,$1 ,United States,Biotechnology,"Y Combinator, Data Collective, MassVentures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GitLab,$1 ,United States,DevOps,"Google Ventures, ICONIQ Capital, Khosla Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global Fashion Group,$1 ,Luxembourg,eCommerce/Marketplace,"Access Industries, Rocket Internet, Tengelmann Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global Switch,$11 ,United Kingdom,Computer Hardware & Services,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glossier,$1 ,United States,eCommerce,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Go-Jek,$10 ,Indonesia,On-Demand,"Formation Group, Sequoia Capital India, Warburg Pincus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
